epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,240.056,0.43379,0.98213,0.3988,0.84905,0.96962,0.97619,0.99105,0.93931,0.87476,0.88095,0.89923,0.77482,0.30979,0.78095,0.36381,0.89605,0.000608468,0.000608468,0.000608468
31,251.008,0.43703,0.98737,0.41946,0.84818,0.96543,0.97619,0.99152,0.95252,0.88679,0.86905,0.85738,0.73222,0.29705,0.77738,0.31997,0.89261,0.000580174,0.000580174,0.000580174
32,261.786,0.40769,0.94799,0.38307,0.8423,0.97012,0.98142,0.9927,0.94243,0.88533,0.89866,0.89988,0.76257,0.31237,0.75586,0.32586,0.89436,0.00055188,0.00055188,0.00055188
33,272.901,0.40458,0.98951,0.40973,0.84537,0.9744,0.97064,0.9923,0.94054,0.84847,0.89924,0.8916,0.75959,0.31854,0.7941,0.32878,0.8906,0.000523586,0.000523586,0.000523586
34,283.476,0.39243,0.88769,0.40432,0.84171,0.96749,0.99602,0.9927,0.95409,0.87472,0.90092,0.89759,0.76149,0.28892,0.77031,0.30497,0.88784,0.000495291,0.000495291,0.000495291
35,293.869,0.40013,0.98457,0.36702,0.84225,0.95779,0.9881,0.99152,0.94408,0.86544,0.89286,0.89585,0.7584,0.29672,0.76191,0.30149,0.88596,0.000466997,0.000466997,0.000466997
36,303.988,0.39576,0.92071,0.37993,0.8388,0.95272,0.99917,0.99236,0.96567,0.87943,0.86905,0.86897,0.73844,0.25258,0.78706,0.28784,0.88401,0.000438703,0.000438703,0.000438703
37,314.077,0.36934,0.90635,0.36993,0.83847,0.97274,0.98645,0.99186,0.95543,0.88239,0.87496,0.881,0.76344,0.27003,0.75695,0.29966,0.88592,0.000410409,0.000410409,0.000410409
38,324.37,0.38756,0.87593,0.36589,0.83218,0.9712,0.98599,0.9927,0.95997,0.88605,0.8852,0.90444,0.77819,0.25727,0.75424,0.30129,0.88415,0.000382115,0.000382115,0.000382115
39,334.555,0.38483,0.90094,0.37208,0.83407,0.97253,0.98315,0.99305,0.96077,0.8846,0.87295,0.90475,0.77972,0.25917,0.76623,0.30211,0.88455,0.00035382,0.00035382,0.00035382
40,344.723,0.35937,0.88614,0.33946,0.83417,0.97346,0.99329,0.99339,0.96206,0.8694,0.89161,0.89389,0.76075,0.2459,0.7521,0.28668,0.8828,0.000325526,0.000325526,0.000325526
41,379.228,0.34545,0.85724,0.31768,0.80448,0.97265,0.98394,0.99305,0.9533,0.87737,0.88908,0.89758,0.76794,0.24351,0.7476,0.29128,0.8821,0.000297232,0.000297232,0.000297232
42,385.696,0.32848,0.85314,0.30271,0.80866,0.97377,0.98457,0.99305,0.96214,0.87853,0.88955,0.8918,0.76456,0.24894,0.78186,0.27682,0.88056,0.000268938,0.000268938,0.000268938
43,393.383,0.32228,0.78915,0.29452,0.78966,0.97394,0.98181,0.99305,0.95426,0.87896,0.88665,0.88984,0.7583,0.24832,0.819,0.28169,0.87891,0.000240644,0.000240644,0.000240644
44,401.085,0.31535,0.76594,0.30035,0.80805,0.96863,0.97398,0.99271,0.95455,0.8539,0.90247,0.88505,0.75592,0.27445,0.83574,0.29159,0.8808,0.000212349,0.000212349,0.000212349
45,408.261,0.31618,0.72523,0.31345,0.79438,0.94989,0.99868,0.9923,0.95422,0.84624,0.89234,0.88536,0.76282,0.24798,0.8901,0.28025,0.87898,0.000184055,0.000184055,0.000184055
46,415.761,0.30876,0.71815,0.28092,0.80697,0.96894,0.97619,0.99236,0.95828,0.88316,0.88095,0.89,0.76635,0.22979,0.96231,0.26495,0.87909,0.000155761,0.000155761,0.000155761
47,424.18,0.29875,0.66816,0.27481,0.79979,0.96955,0.97619,0.99236,0.96968,0.87749,0.88095,0.89233,0.77329,0.22266,1.03989,0.26853,0.87936,0.000127467,0.000127467,0.000127467
48,434.212,0.29692,0.72561,0.27851,0.80046,0.96698,0.97619,0.99236,0.96627,0.89596,0.86905,0.89403,0.76733,0.22204,0.96348,0.25882,0.87989,9.91726e-05,9.91726e-05,9.91726e-05
49,444.19,0.29436,0.74613,0.26813,0.80082,0.94672,0.99791,0.99236,0.9675,0.89415,0.86905,0.89752,0.77104,0.22063,0.91544,0.2542,0.87956,7.08784e-05,7.08784e-05,7.08784e-05
50,453.265,0.2869,0.7403,0.2737,0.79763,0.94724,0.99903,0.99236,0.96761,0.85591,0.90411,0.90498,0.78104,0.21589,0.85558,0.25367,0.87853,4.25842e-05,4.25842e-05,4.25842e-05
